ProductCode,id,order_number,domain,store_id,total_price,currency_code,exchange_rate,pay_money,create_date,pay_date,transaction_no
2.02503E+16,653613,127351-653613,store-acmilan.online,127351,37.6,EUR,0.91245,41.21,2025/3/4 12:46,2025/3/4 12:49,2.02503E+16
2.02503E+16,34113240,119249-34113240,www.toys-centerit.shop,119249,27.4,EUR,0.91245,30.03,2025/3/4 15:47,2025/3/4 15:50,2.02503E+16
2.02503E+16,654007,127351-654007,store-acmilan.online,127351,22.6,EUR,0.91245,24.77,2025/3/4 17:03,2025/3/4 17:06,2.02503E+16
2.02503E+16,736284,127445-736284,shop-liiverpool.shop,127445,18.14,CHF,0.861746,21.06,2025/3/4 19:00,2025/3/4 19:02,2.02503E+16
2.02503E+16,34113792,119249-34113792,www.toycenter-it.shop,119249,27.4,EUR,0.91245,30.03,2025/3/4 20:04,2025/3/4 20:08,2.02503E+16
2.02503E+16,33961414,128122-33961414,www.store-arsenal.com,128122,26.6,EUR,0.91245,29.16,2025/3/4 20:44,2025/3/4 20:46,2.02503E+16
2.02503E+16,33961491,127338-33961491,www.store-psg.sa.com,127338,38,EUR,0.91245,41.65,2025/3/4 21:11,2025/3/4 21:14,2.02503E+16
2.02503E+16,34149985,129443-34149985,rscabe.shop,129443,32.5,EUR,0.91245,35.62,2025/3/4 21:11,2025/3/4 21:15,2.02503E+16
2.02503E+16,736746,127445-736746,shop-liiverpool.shop,127445,32.4,EUR,0.91245,35.51,2025/3/4 21:24,2025/3/4 21:30,2.02503E+16
2.02503E+16,736754,127445-736754,shop-liiverpool.shop,127445,176.23,DKK,6.808204,25.89,2025/3/4 21:27,2025/3/4 21:28,2.02503E+16
2.02503E+16,654783,127351-654783,acmilanvip.online,127351,24,EUR,0.91245,26.31,2025/3/4 22:43,2025/3/4 23:18,2.02503E+16
2.02503E+16,655022,127351-655022,store-acmilan.online,127351,28,EUR,0.91245,30.69,2025/3/5 0:20,2025/3/5 0:25,2.02503E+16
2.02503E+16,34150455,129443-34150455,rscabe.shop,129443,34.5,EUR,0.91245,37.82,2025/3/5 1:15,2025/3/5 1:22,2.02503E+16
2.02503E+16,655175,127351-655175,store-acmilan.online,127351,31,EUR,0.91245,33.98,2025/3/5 1:27,2025/3/5 1:30,2.02503E+16
2.02503E+16,33962666,127338-33962666,www.store-psg.sa.com,127338,26,EUR,0.91245,28.5,2025/3/5 3:04,2025/3/5 3:10,2.02503E+16
2.02503E+16,33962672,128122-33962672,www.store-arsenal.com,128122,141.13,PLN,3.899545,36.2,2025/3/5 3:05,2025/3/5 3:15,2.02503E+16
2.02503E+16,655576,127351-655576,store-acmilan.online,127351,31,EUR,0.91245,33.98,2025/3/5 3:53,2025/3/5 3:54,2.02503E+16
2.02503E+16,655869,127351-655869,store-acmilan.online,127351,31,EUR,0.91245,33.98,2025/3/5 5:35,2025/3/5 5:42,2.02503E+16
2.02503E+16,33963320,127338-33963320,www.store-psg.sa.com,127338,38,EUR,0.91245,41.65,2025/3/5 6:14,2025/3/5 6:17,2.02503E+16
